DeploymentYear,total.spring,total.nov,total.dec,total.jan,total.feb,total.mar
ABMI-1362-SW_2016,78,0,0,0,0,27
ABMI-1363-NE_2016,78,0,0,0,0,28
ABMI-1363-NW_2016,78,0,0,0,0,28
ABMI-1363-SE_2016,78,0,0,0,0,28
ABMI-1363-SW_2016,78,0,0,0,0,28
ABMI-1364-NE_2016,78,0,0,0,0,30
ABMI-1364-NW_2016,78,0,0,0,0,30
ABMI-1364-SE_2016,78,0,0,0,0,30
ABMI-1364-SW_2016,13,0,0,0,0,30
ABMI-1368-NE_2015,78,0,0,0,0,14
ABMI-1368-NW_2015,78,0,0,0,0,14
ABMI-1368-SE_2015,78,0,0,0,0,14
ABMI-1368-SW_2015,78,0,0,0,0,14
ABMI-1369-NE_2015,41,0,0,0,0,15
ABMI-1369-NW_2015,78,0,0,0,0,15
ABMI-1369-SE_2015,78,0,0,0,0,15
ABMI-1369-SW_2015,78,0,0,0,0,15
ABMI-1381-NE_2017,78,0,0,0,1,31
ABMI-1381-NW_2017,78,0,0,0,1,31
ABMI-1381-SE_2017,78,0,0,0,0,31
ABMI-1381-SW_2017,78,0,0,0,0,31
ABMI-1382-NE_2017,78,0,0,0,0,31
ABMI-1382-NW_2017,78,0,0,0,0,31
ABMI-1382-SE_2017,0,0,0,0,0,27
ABMI-1382-SW_2017,78,0,0,0,0,31
ABMI-1383-NE_2017,37,0,0,0,0,30
ABMI-1383-NW_2017,78,0,0,0,0,30
ABMI-1383-SE_2017,78,0,0,0,0,30
ABMI-1383-SW_2017,78,0,0,0,0,30
ABMI-1384-NE_2018,78,0,12,31,28,31
ABMI-1384-SW_2018,78,0,12,31,28,31
ABMI-1385-NE_2018,78,0,0,20,28,31
ABMI-1385-SW_2018,78,0,0,21,28,31
ABMI-1387-NE_2016,78,0,0,0,0,7
ABMI-1387-NW_2016,78,0,0,0,0,7
ABMI-1387-SE_2016,78,0,0,0,0,6
ABMI-1387-SW_2016,78,0,0,0,0,6
ABMI-1388B-NE_2016,78,0,0,0,0,28
ABMI-1388B-NW_2016,78,0,0,0,0,28
ABMI-1388B-SE_2016,78,0,0,0,0,29
ABMI-1388B-SW_2016,78,0,0,0,0,29
ABMI-1389-NE_2016,78,0,0,0,0,29
ABMI-1389-NW_2016,78,0,0,0,0,29
ABMI-1389-SE_2016,78,0,0,0,0,29
ABMI-1389-SW_2016,78,0,0,0,0,29
ABMI-1393-NE_2015,78,0,0,0,0,13
ABMI-1393-NW_2015,78,0,0,0,0,13
ABMI-1393-SE_2015,78,0,0,0,0,13
ABMI-1394-NE_2015,75,0,0,0,0,17
ABMI-1394-NW_2015,78,0,0,0,0,17
ABMI-1394-SE_2015,78,0,0,0,0,17
